,track_id, year, month, day, hour, i, j, lon, lat, psl_min, sfcWind_max, orog_max, wind_max_925, wind_max_850, rh_avg_850
1664,75,2020,9,15,6,934,1239,131.414063,26.203125,98401.5,22.80488,0.0,35.55366,38.60153,84.81339
1665,75,2020,9,15,12,931,1241,130.992188,26.390625,98627.5,23.79929,0.0,35.97417,36.37414,83.16933
1666,75,2020,9,15,18,930,1249,130.851563,27.140625,98152.75,25.92326,0.0,34.1927,39.06105,87.28714
1667,75,2020,9,16,0,933,1261,131.273438,28.265625,98665.0,23.53521,0.0,37.12584,38.50325,86.54963
1668,75,2020,9,16,6,933,1268,131.273438,28.921875,98462.75,24.44158,0.0,31.95823,32.5442,86.06747
1669,75,2020,9,16,12,933,1275,131.273438,29.578125,98843.75,19.76898,0.0,28.50466,30.83879,87.446
1670,75,2020,9,16,18,936,1283,131.695312,30.328125,99046.25,17.87544,0.0,28.13472,28.02705,85.42873
1671,75,2020,9,17,0,942,1289,132.539062,30.890625,99453.75,20.06591,0.0,28.01925,28.79073,86.10854
1672,75,2020,9,17,6,952,1296,133.945312,31.546875,99396.0,23.05733,0.0,32.36366,30.16957,86.21504
1673,75,2020,9,17,12,964,1313,135.632812,33.140625,99746.75,21.5711,0.0,33.81129,30.37268,86.65344
1674,75,2020,9,17,18,986,1333,138.726562,35.015625,99708.5,19.78991,0.0,33.87708,34.73201,85.57298
1675,75,2020,9,18,0,1006,1340,141.539062,35.671875,100170.5,21.08502,0.0,31.09512,29.99271,83.56738
1676,75,2020,9,18,6,1028,1365,144.632812,38.015625,99993.25,19.86989,0.0,32.44466,34.86447,82.48355
1677,76,2020,9,12,0,1380,552,194.132812,-38.203125,98482.0,22.0103,0.0,35.72333,33.87708,89.12614
1678,76,2020,9,12,6,1394,540,196.101562,-39.328125,98558.5,22.50555,0.0,33.97173,34.75809,93.57625
1679,76,2020,9,12,12,1415,526,199.054688,-40.640625,98615.5,20.15332,0.0,34.6933,35.22628,94.3241
1680,76,2020,9,12,18,1434,516,201.726563,-41.578125,98775.75,19.19065,0.0,33.67607,30.80026,93.45235
1681,76,2020,9,13,0,1454,500,204.539062,-43.078125,98711.0,18.60275,0.0,33.39396,32.99455,93.14394
1682,76,2020,9,13,6,1471,487,206.929688,-44.296875,98794.25,16.37691,0.0,29.65768,27.70041,93.54862
1683,76,2020,9,13,12,1488,474,209.320312,-45.515625,98719.0,15.74206,0.0,27.66682,24.96904,93.48203
1684,76,2020,9,13,18,1501,461,211.148438,-46.734375,98825.75,19.27596,0.0,27.03961,23.74145,93.70761
1685,76,2020,9,14,0,1508,456,212.132812,-47.203125,98830.25,19.02507,0.0,27.28209,21.96944,93.89308
1686,76,2020,9,14,6,1512,455,212.695312,-47.296875,99023.75,18.85181,0.0,27.90301,23.32515,94.37279
1687,76,2020,9,14,12,1512,462,212.695312,-46.640625,99120.25,18.60485,0.0,27.03268,23.05496,95.7716
1688,76,2020,9,14,18,1515,467,213.117188,-46.171875,99421.5,17.81546,0.0,26.16355,20.83904,95.94994
