start	14	2020	1	1	0
	3408	1384	59.625208	-25.101685	9.690846e+04	3.214486e+01	5.724653e+04	5.503131e+04	1.074293e+05	1.062392e+05	3.004840e+02	nan	2020	1	1	0
	3416	1343	60.187709	-27.023569	9.719326e+04	2.911601e+01	5.726755e+04	5.500747e+04	1.074128e+05	1.059829e+05	2.992300e+02	4.684578e+01	2020	1	1	6
	3428	1306	61.031459	-28.757952	9.695502e+04	2.771787e+01	5.707803e+04	5.463588e+04	1.071189e+05	1.055425e+05	2.982975e+02	5.142336e+01	2020	1	1	12
	3439	1270	61.804897	-30.445461	9.702639e+04	2.782953e+01	5.711994e+04	5.462577e+04	1.071388e+05	1.051674e+05	2.966888e+02	4.827338e+01	2020	1	1	18
	3446	1227	62.297085	-32.461095	9.685314e+04	2.745183e+01	5.681440e+04	5.435986e+04	1.066870e+05	1.045229e+05	2.945487e+02	3.828399e+01	2020	1	2	0
	3460	1188	63.281461	-34.289229	9.691551e+04	2.788752e+01	5.681628e+04	5.420702e+04	1.065288e+05	1.043637e+05	2.936609e+02	3.228750e+01	2020	1	2	6
	3480	1163	64.687712	-35.461110	9.650814e+04	2.974512e+01	5.661295e+04	5.368240e+04	1.063289e+05	1.041749e+05	2.921301e+02	2.079075e+01	2020	1	2	12
	3514	1136	67.078340	-36.726741	9.688551e+04	2.458274e+01	5.690295e+04	5.374725e+04	1.063743e+05	1.038603e+05	2.915447e+02	1.228823e+01	2020	1	2	18
	3553	1096	69.820529	-38.601750	9.712509e+04	2.281190e+01	5.662699e+04	5.364862e+04	1.059353e+05	1.035236e+05	2.907917e+02	1.408706e+01	2020	1	3	0
	3591	1073	72.492407	-39.679880	9.741309e+04	2.198858e+01	5.661082e+04	5.370425e+04	1.057559e+05	1.032157e+05	2.899029e+02	1.203594e+01	2020	1	3	6
	3639	1060	75.867410	-40.289258	9.752488e+04	2.174982e+01	5.654935e+04	5.362668e+04	1.057078e+05	1.029138e+05	2.892340e+02	1.049505e+01	2020	1	3	12
	3693	1052	79.664288	-40.664260	9.795098e+04	2.133505e+01	5.655250e+04	5.372543e+04	1.057658e+05	1.025881e+05	2.889580e+02	1.098257e+01	2020	1	3	18
	3756	1041	84.093979	-41.179888	9.812541e+04	2.085865e+01	5.626396e+04	5.362388e+04	1.053502e+05	1.018785e+05	2.882888e+02	1.080236e+01	2020	1	4	0
	3826	1031	89.015859	-41.648640	9.834183e+04	1.986358e+01	5.608231e+04	5.330104e+04	1.050167e+05	1.012831e+05	2.873077e+02	9.974435e+00	2020	1	4	6
start	11	2020	1	1	0
	162	1458	-168.609365	-21.632918	9.820734e+04	2.976940e+01	5.717301e+04	5.600001e+04	1.076980e+05	1.057879e+05	3.002225e+02	nan	2020	1	1	0
	188	1475	-166.781239	-20.836039	9.810734e+04	3.042876e+01	5.718227e+04	5.578316e+04	1.076973e+05	1.058993e+05	3.004765e+02	2.548140e+01	2020	1	1	6
	215	1476	-164.882799	-20.789164	9.787520e+04	2.570430e+01	5.711885e+04	5.575280e+04	1.076104e+05	1.058060e+05	3.006384e+02	2.274566e+01	2020	1	1	12
	244	1469	-162.843735	-21.117290	9.842808e+04	2.463308e+01	5.729609e+04	5.613706e+04	1.076955e+05	1.056864e+05	3.004329e+02	2.396674e+01	2020	1	1	18
	272	1451	-160.874983	-21.961044	9.862638e+04	2.244973e+01	5.727338e+04	5.624722e+04	1.076468e+05	1.055977e+05	3.007360e+02	2.103580e+01	2020	1	2	0
	306	1426	-158.484356	-23.132925	9.880899e+04	2.304787e+01	5.740540e+04	5.632335e+04	1.077747e+05	1.055982e+05	3.000038e+02	2.222375e+01	2020	1	2	6
	345	1393	-155.742166	-24.679808	9.886476e+04	2.564803e+01	5.733228e+04	5.618986e+04	1.076260e+05	1.053598e+05	2.995661e+02	2.265228e+01	2020	1	2	12
	384	1343	-152.999977	-27.023569	9.900383e+04	2.462770e+01	5.752695e+04	5.611562e+04	1.077442e+05	1.051962e+05	2.986931e+02	2.477464e+01	2020	1	2	18
	432	1282	-149.624974	-29.882958	9.915331e+04	2.560306e+01	5.750671e+04	5.588101e+04	1.076896e+05	1.049922e+05	2.975791e+02	1.970089e+01	2020	1	3	0
	485	1219	-145.898408	-32.836097	9.951037e+04	2.090645e+01	5.760528e+04	5.566828e+04	1.077238e+05	1.047726e+05	2.958962e+02	1.946720e+01	2020	1	3	6
	536	1167	-142.312467	-35.273609	9.959125e+04	2.041026e+01	5.740171e+04	5.550826e+04	1.074390e+05	1.043998e+05	2.948157e+02	1.754451e+01	2020	1	3	12
start	19	2020	1	5	18
	4197	1609	115.101819	-14.554758	1.002974e+05	1.087348e+01	5.738716e+04	5.710443e+04	1.077466e+05	1.074542e+05	3.036106e+02	2.039298e+01	2020	1	5	18
	4195	1645	114.961194	-12.867250	1.004026e+05	1.359815e+01	5.760070e+04	5.719495e+04	1.079312e+05	1.076544e+05	3.034445e+02	2.751707e+01	2020	1	6	0
	4192	1588	114.750256	-15.539138	1.001264e+05	1.840543e+01	5.751859e+04	5.704229e+04	1.078517e+05	1.075904e+05	3.033972e+02	1.655304e+01	2020	1	6	6
	4195	1596	114.961194	-15.164136	1.002302e+05	1.490364e+01	5.759173e+04	5.716325e+04	1.079640e+05	1.076102e+05	3.035175e+02	1.061045e+01	2020	1	6	12
	4179	1588	113.836193	-15.539138	1.000652e+05	1.684795e+01	5.740220e+04	5.690745e+04	1.077618e+05	1.075425e+05	3.031633e+02	2.031373e+01	2020	1	6	18
