track_id, year, month, day, hour, i, j, lon, lat, slp, wind
3, 2020, 1, 30, 0, 1527, 247, 305.569761, 40.545050, 9.729141e+04, 2.329562e+01
3, 2020, 1, 30, 6, 1541, 234, 308.371317, 43.147942, 9.716571e+04, 2.147547e+01
3, 2020, 1, 30, 12, 1549, 226, 309.972207, 44.749722, 9.726570e+04, 2.207853e+01
3, 2020, 1, 30, 18, 1555, 223, 311.172874, 45.350389, 9.707277e+04, 2.307596e+01
3, 2020, 1, 31, 0, 1567, 221, 313.574208, 45.750834, 9.739245e+04, 2.502614e+01
3, 2020, 1, 31, 6, 1586, 213, 317.376320, 47.352614, 9.780453e+04, 2.419470e+01
3, 2020, 1, 31, 12, 1599, 200, 319.977765, 49.955506, 9.798400e+04, 2.014937e+01
4, 2020, 1, 29, 18, 679, 523, 135.875486, -14.716352, 1.000340e+05, 1.379230e+01
4, 2020, 1, 30, 0, 676, 520, 135.275153, -14.115684, 1.002214e+05, 1.541339e+01
4, 2020, 1, 30, 6, 679, 521, 135.875486, -14.315907, 9.980912e+04, 1.545373e+01
4, 2020, 1, 30, 12, 677, 520, 135.475264, -14.115684, 1.000459e+05, 1.521155e+01
4, 2020, 1, 30, 18, 680, 518, 136.075598, -13.715239, 9.974748e+04, 1.701752e+01
4, 2020, 1, 31, 0, 686, 525, 137.276265, -15.116796, 9.970853e+04, 1.864651e+01
4, 2020, 1, 31, 6, 683, 528, 136.675931, -15.717464, 9.940871e+04, 1.827833e+01
4, 2020, 1, 31, 12, 683, 532, 136.675931, -16.518354, 9.975918e+04, 1.686578e+01
4, 2020, 1, 31, 18, 680, 538, 136.075598, -17.719689, 9.962680e+04, 1.183823e+01
4, 2020, 2, 1, 0, 674, 541, 134.874931, -18.320356, 9.991359e+04, 1.090028e+01
4, 2020, 2, 1, 6, 672, 542, 134.474708, -18.520578, 9.970277e+04, 9.717109e+00
4, 2020, 2, 1, 12, 669, 547, 133.874375, -19.521691, 9.999570e+04, 8.716932e+00
4, 2020, 2, 1, 18, 664, 547, 132.873819, -19.521691, 9.973769e+04, 8.464433e+00
4, 2020, 2, 2, 0, 663, 549, 132.673708, -19.922136, 1.000765e+05, 9.396402e+00
4, 2020, 2, 2, 12, 661, 553, 132.273485, -20.723026, 1.000360e+05, 7.743242e+00
4, 2020, 2, 2, 18, 658, 553, 131.673152, -20.723026, 9.979150e+04, 8.258448e+00
4, 2020, 2, 3, 0, 658, 552, 131.673152, -20.522803, 9.998666e+04, 1.028672e+01
4, 2020, 2, 3, 6, 657, 552, 131.473041, -20.522803, 9.967580e+04, 1.001780e+01
4, 2020, 2, 3, 12, 654, 551, 130.872707, -20.322581, 9.986272e+04, 1.192405e+01
4, 2020, 2, 3, 18, 652, 550, 130.472485, -20.122358, 9.962608e+04, 1.112634e+01
4, 2020, 2, 4, 0, 649, 551, 129.872151, -20.322581, 9.982752e+04, 1.162476e+01
4, 2020, 2, 4, 6, 648, 551, 129.672040, -20.322581, 9.957852e+04, 1.243265e+01
4, 2020, 2, 4, 12, 648, 549, 129.672040, -19.922136, 9.982658e+04, 1.065738e+01
4, 2020, 2, 4, 18, 648, 550, 129.672040, -20.122358, 9.966888e+04, 9.937255e+00
4, 2020, 2, 5, 0, 649, 552, 129.872151, -20.522803, 9.990984e+04, 1.070585e+01
4, 2020, 2, 5, 6, 649, 555, 129.872151, -21.123471, 9.963510e+04, 1.241768e+01
4, 2020, 2, 5, 12, 651, 556, 130.272374, -21.323693, 9.979334e+04, 1.266378e+01
4, 2020, 2, 5, 18, 652, 559, 130.472485, -21.924360, 9.958341e+04, 1.230808e+01
4, 2020, 2, 6, 0, 653, 563, 130.672596, -22.725250, 9.981802e+04, 1.209897e+01
4, 2020, 2, 6, 6, 654, 563, 130.872707, -22.725250, 9.968918e+04, 1.235372e+01
4, 2020, 2, 6, 12, 653, 558, 130.672596, -21.724138, 1.000141e+05, 1.001079e+01
5, 2020, 1, 30, 0, 780, 402, 156.086715, 9.510567, 1.005866e+05, 1.472434e+01
5, 2020, 1, 30, 6, 771, 397, 154.285714, 10.511680, 1.002800e+05, 1.459983e+01
5, 2020, 1, 30, 12, 764, 395, 152.884936, 10.912125, 1.004645e+05, 1.257673e+01
5, 2020, 1, 30, 18, 763, 392, 152.684825, 11.512792, 1.002630e+05, 1.245837e+01
5, 2020, 1, 31, 0, 761, 386, 152.284603, 12.714127, 1.005352e+05, 1.229633e+01
5, 2020, 1, 31, 6, 759, 383, 151.884380, 13.314794, 1.002079e+05, 1.104369e+01
5, 2020, 1, 31, 12, 760, 383, 152.084491, 13.314794, 1.004341e+05, 1.085121e+01
5, 2020, 1, 31, 18, 760, 382, 152.084491, 13.515017, 1.002712e+05, 1.146499e+01
