track_id, year, month, day, hour, i, lon, lat, slp, wind
0, 2016, 8, 1, 0, 135655, 238.710938, 15.868986, 1.003869e+05, 1.436235e+01
0, 2016, 8, 1, 6, 135958, 237.128906, 15.713926, 1.006347e+05, 1.839067e+01
0, 2016, 8, 1, 12, 136008, 237.304688, 16.179467, 1.002506e+05, 1.976481e+01
0, 2016, 8, 1, 18, 136092, 235.546875, 17.113889, 1.002592e+05, 2.527843e+01
0, 2016, 8, 2, 0, 136109, 234.316406, 17.270076, 1.000152e+05, 2.248615e+01
0, 2016, 8, 2, 6, 137487, 233.437500, 18.053028, 1.001561e+05, 2.227860e+01
0, 2016, 8, 2, 12, 137609, 231.855469, 18.839483, 9.984941e+04, 2.172304e+01
0, 2016, 8, 2, 18, 137815, 230.273438, 19.629639, 9.985230e+04, 2.343057e+01
0, 2016, 8, 3, 0, 137937, 228.691406, 20.423701, 9.976284e+04, 2.318136e+01
0, 2016, 8, 3, 6, 137958, 227.285156, 20.742467, 9.997474e+04, 2.313915e+01
0, 2016, 8, 3, 12, 143413, 225.527344, 21.382032, 9.998264e+04, 2.340166e+01
0, 2016, 8, 3, 18, 143495, 223.945313, 21.542358, 1.003645e+05, 2.050117e+01
0, 2016, 8, 4, 0, 143530, 222.363281, 22.024405, 1.003732e+05, 1.985436e+01
0, 2016, 8, 4, 6, 141168, 220.781250, 22.185451, 1.005540e+05, 2.096576e+01
0, 2016, 8, 4, 12, 141251, 219.375000, 22.508099, 1.005566e+05, 1.892210e+01
0, 2016, 8, 4, 18, 141243, 217.617188, 22.831502, 1.007711e+05, 1.963412e+01
0, 2016, 8, 5, 0, 142628, 216.210938, 23.155675, 1.007470e+05, 1.878823e+01
0, 2016, 8, 5, 6, 142550, 214.628906, 23.318056, 1.005685e+05, 2.301669e+01
0, 2016, 8, 5, 12, 142567, 213.398438, 23.480635, 1.004944e+05, 2.270263e+01
0, 2016, 8, 5, 18, 142915, 212.343750, 23.806397, 1.005921e+05, 2.103541e+01
0, 2016, 8, 6, 0, 142908, 210.937500, 24.132978, 1.005726e+05, 2.142956e+01
0, 2016, 8, 6, 6, 142983, 209.882813, 24.132978, 1.004206e+05, 2.037060e+01
0, 2016, 8, 6, 12, 142325, 208.652344, 23.969584, 1.004140e+05, 2.154860e+01
0, 2016, 8, 6, 18, 142328, 207.773438, 23.806397, 1.003657e+05, 2.380844e+01
0, 2016, 8, 7, 0, 164161, 206.894531, 23.643414, 1.005382e+05, 2.155976e+01
1, 2016, 8, 2, 6, 71284, 150.820313, 19.946783, 1.001237e+05, 1.203339e+01
1, 2016, 8, 2, 12, 71301, 148.183594, 18.839483, 1.002336e+05, 1.224169e+01
1, 2016, 8, 2, 18, 71317, 148.886719, 19.471302, 9.994559e+04, 1.209265e+01
1, 2016, 8, 3, 0, 71300, 148.007812, 18.681902, 9.999478e+04, 1.560536e+01
1, 2016, 8, 3, 6, 71212, 148.359375, 18.367178, 9.949948e+04, 1.827757e+01
1, 2016, 8, 3, 12, 71297, 147.832031, 18.524468, 9.930709e+04, 1.985827e+01
1, 2016, 8, 3, 18, 70525, 147.832031, 17.896163, 9.855083e+04, 2.404260e+01
1, 2016, 8, 4, 0, 71299, 147.656250, 18.681902, 9.826600e+04, 2.734331e+01
1, 2016, 8, 4, 6, 71311, 147.656250, 19.313119, 9.805907e+04, 2.715376e+01
1, 2016, 8, 4, 12, 71334, 147.128906, 19.471302, 9.782016e+04, 2.559094e+01
1, 2016, 8, 4, 18, 71352, 147.304688, 19.946783, 9.717800e+04, 2.849233e+01
1, 2016, 8, 5, 0, 72727, 147.304688, 20.902101, 9.697862e+04, 2.883543e+01
1, 2016, 8, 5, 6, 72778, 147.128906, 21.382032, 9.622912e+04, 3.231083e+01
1, 2016, 8, 5, 12, 72807, 147.304688, 22.185451, 9.587182e+04, 3.114245e+01
1, 2016, 8, 5, 18, 72917, 147.480469, 23.318056, 9.511977e+04, 3.643876e+01
1, 2016, 8, 6, 0, 73121, 147.128906, 24.296581, 9.466680e+04, 3.523183e+01
1, 2016, 8, 6, 6, 73147, 147.304688, 25.447839, 9.435537e+04, 3.769860e+01
1, 2016, 8, 6, 12, 73524, 146.601562, 26.443448, 9.433602e+04, 3.694960e+01
1, 2016, 8, 6, 18, 73578, 146.425781, 27.279731, 9.425778e+04, 3.586761e+01
1, 2016, 8, 7, 0, 73676, 146.250000, 28.122357, 9.447052e+04, 3.990526e+01
1, 2016, 8, 7, 6, 79185, 145.722656, 29.656145, 9.443662e+04, 4.121697e+01
1, 2016, 8, 7, 12, 79220, 145.195312, 30.518367, 9.456881e+04, 3.854450e+01
1, 2016, 8, 7, 18, 79317, 144.667969, 31.388308, 9.464322e+04, 3.685907e+01
1, 2016, 8, 8, 0, 90274, 143.964844, 32.443014, 9.500709e+04, 3.512249e+01
1, 2016, 8, 8, 6, 90630, 143.613281, 33.510211, 9.522034e+04, 3.280218e+01
1, 2016, 8, 8, 12, 90674, 143.261719, 34.590737, 9.552953e+04, 3.274605e+01
1, 2016, 8, 8, 18, 90775, 143.085938, 35.869419, 9.559821e+04, 3.092847e+01
1, 2016, 8, 9, 0, 90864, 143.437500, 37.356560, 9.563107e+04, 3.513908e+01
1, 2016, 8, 9, 6, 91050, 143.613281, 38.682381, 9.548473e+04, 3.495328e+01
1, 2016, 8, 9, 12, 92482, 144.667969, 40.620396, 9.575119e+04, 3.227394e+01
