track_id, year, month, day, hour, i, lon, lat, slp, wind
0, 2020, 1, 27, 15, 556591, 63.984375, -25.447839, 9.795221e+04, 2.693275e+01
0, 2020, 1, 27, 18, 556684, 63.281250, -25.117808, 9.799280e+04, 2.585478e+01
0, 2020, 1, 27, 21, 556705, 62.753906, -24.953127, 9.786721e+04, 2.381659e+01
0, 2020, 1, 28, 0, 556707, 62.578125, -24.788666, 9.802591e+04, 2.306090e+01
0, 2020, 1, 28, 3, 556712, 62.226563, -24.788666, 9.820154e+04, 2.323528e+01
0, 2020, 1, 28, 6, 556714, 62.050781, -24.624423, 9.826396e+04, 2.231738e+01
0, 2020, 1, 28, 9, 556028, 61.875000, -25.117808, 9.812547e+04, 2.253930e+01
0, 2020, 1, 28, 12, 556019, 61.875000, -25.447839, 9.821853e+04, 2.167688e+01
0, 2020, 1, 28, 15, 556005, 61.699219, -25.944591, 9.858038e+04, 2.058464e+01
0, 2020, 1, 28, 18, 556004, 61.523438, -26.110640, 9.859109e+04, 2.118858e+01
0, 2020, 1, 28, 21, 555978, 61.347656, -26.610213, 9.870641e+04, 2.123592e+01
0, 2020, 1, 29, 0, 555929, 60.996094, -27.279731, 9.873590e+04, 2.202557e+01
0, 2020, 1, 29, 3, 555911, 60.820312, -27.784525, 9.898559e+04, 2.198130e+01
0, 2020, 1, 29, 6, 555819, 60.820312, -28.461258, 9.915159e+04, 2.048894e+01
0, 2020, 1, 29, 9, 555645, 60.644531, -28.971660, 9.916304e+04, 1.970951e+01
0, 2020, 1, 29, 12, 555637, 60.996094, -29.313328, 9.937459e+04, 1.961075e+01
0, 2020, 1, 29, 15, 555603, 61.171875, -30.172575, 9.946738e+04, 1.947075e+01
0, 2020, 1, 29, 18, 555601, 61.347656, -30.345318, 9.964344e+04, 1.905200e+01
0, 2020, 1, 29, 21, 555256, 61.523438, -30.865394, 9.969154e+04, 1.928831e+01
0, 2020, 1, 30, 0, 555237, 61.699219, -31.388308, 9.986991e+04, 1.805959e+01
1, 2020, 1, 20, 18, 361035, 65.742188, -14.940364, 1.005885e+05, 1.466369e+01
1, 2020, 1, 20, 21, 361027, 66.093750, -15.249446, 1.004032e+05, 1.563614e+01
1, 2020, 1, 21, 0, 360683, 66.445312, -15.558983, 1.004446e+05, 1.545412e+01
1, 2020, 1, 21, 3, 360674, 66.621094, -16.024166, 1.005621e+05, 1.601854e+01
1, 2020, 1, 21, 6, 360650, 66.972656, -16.334890, 1.004892e+05, 1.631393e+01
1, 2020, 1, 21, 9, 360640, 67.500000, -16.801907, 1.002158e+05, 1.740735e+01
1, 2020, 1, 21, 12, 360554, 67.675781, -16.957833, 1.000363e+05, 1.911203e+01
1, 2020, 1, 21, 15, 360503, 67.851562, -17.426395, 1.001824e+05, 2.061923e+01
1, 2020, 1, 21, 18, 360500, 67.851562, -17.739438, 9.995012e+04, 2.082386e+01
1, 2020, 1, 21, 21, 360478, 68.027344, -17.896163, 9.972259e+04, 2.010599e+01
1, 2020, 1, 22, 0, 360476, 68.203125, -18.053028, 9.964765e+04, 1.996288e+01
1, 2020, 1, 22, 3, 360470, 68.378906, -18.210032, 9.978547e+04, 2.091671e+01
1, 2020, 1, 22, 6, 338621, 69.082031, -18.524468, 9.982884e+04, 2.021204e+01
1, 2020, 1, 22, 9, 338585, 69.433594, -19.471302, 9.960741e+04, 2.181284e+01
1, 2020, 1, 22, 12, 338578, 69.433594, -19.788132, 9.957263e+04, 2.309652e+01
1, 2020, 1, 22, 15, 338479, 69.609375, -20.264566, 9.962603e+04, 2.248506e+01
1, 2020, 1, 22, 18, 338468, 69.960938, -20.902101, 9.962019e+04, 2.214857e+01
1, 2020, 1, 22, 21, 338441, 70.136719, -21.382032, 9.931873e+04, 2.229405e+01
1, 2020, 1, 23, 0, 338432, 70.312500, -21.863542, 9.948575e+04, 2.339544e+01
1, 2020, 1, 23, 3, 556535, 70.664062, -22.508099, 9.936660e+04, 2.494753e+01
1, 2020, 1, 23, 6, 556507, 70.664062, -23.155675, 9.934321e+04, 2.491198e+01
1, 2020, 1, 23, 9, 556487, 70.664062, -23.806397, 9.920734e+04, 2.529562e+01
1, 2020, 1, 23, 12, 556398, 70.839844, -24.296581, 9.925712e+04, 2.494925e+01
1, 2020, 1, 23, 15, 556387, 71.015625, -24.788666, 9.941173e+04, 2.417546e+01
1, 2020, 1, 23, 18, 556319, 71.015625, -25.447839, 9.932273e+04, 2.202729e+01
1, 2020, 1, 23, 21, 556310, 71.191406, -25.944591, 9.922125e+04, 2.112237e+01
1, 2020, 1, 24, 0, 554942, 71.542969, -26.276925, 9.941002e+04, 1.990889e+01
1, 2020, 1, 24, 3, 554936, 71.367188, -26.777221, 9.955344e+04, 1.995149e+01
1, 2020, 1, 24, 6, 554895, 71.718750, -27.447738, 9.948990e+04, 1.973317e+01
1, 2020, 1, 24, 9, 554885, 72.246094, -27.953309, 9.944385e+04, 2.054339e+01
1, 2020, 1, 24, 12, 554791, 72.773438, -28.461258, 9.952738e+04, 2.078366e+01
1, 2020, 1, 24, 15, 554758, 73.300781, -29.313328, 9.962334e+04, 2.113690e+01
1, 2020, 1, 24, 18, 554408, 73.476562, -30.172575, 9.940525e+04, 2.101079e+01
1, 2020, 1, 24, 21, 554379, 74.179688, -30.518367, 9.931934e+04, 2.054464e+01
1, 2020, 1, 25, 0, 554368, 74.531250, -31.213683, 9.950720e+04, 1.989585e+01
1, 2020, 1, 25, 3, 554272, 75.234375, -31.914149, 9.959413e+04, 1.943942e+01
2, 2020, 1, 27, 15, 438864, 156.796875, 4.331166, 1.001620e+05, 1.868955e+01
2, 2020, 1, 27, 18, 438852, 156.445312, 4.031953, 1.002935e+05, 1.587891e+01
2, 2020, 1, 28, 6, 438867, 156.796875, 4.630498, 1.001769e+05, 1.460295e+01
2, 2020, 1, 28, 9, 438863, 156.093750, 4.630498, 1.002806e+05, 1.457510e+01
2, 2020, 1, 28, 12, 438887, 155.742188, 4.929957, 1.001532e+05, 1.520131e+01
2, 2020, 1, 28, 15, 439000, 155.039062, 5.829177, 9.978641e+04, 1.696829e+01
2, 2020, 1, 28, 18, 438991, 154.687500, 5.829177, 9.953684e+04, 1.844683e+01
2, 2020, 1, 28, 21, 439012, 154.335938, 5.829177, 9.982725e+04, 1.841706e+01
2, 2020, 1, 29, 0, 439022, 153.808594, 6.279314, 9.956460e+04, 1.921055e+01
2, 2020, 1, 29, 3, 440390, 153.457031, 6.579620, 9.915370e+04, 2.083535e+01
2, 2020, 1, 29, 6, 440399, 153.281250, 7.030422, 9.935915e+04, 2.152592e+01
2, 2020, 1, 29, 9, 440431, 152.578125, 7.632177, 9.962695e+04, 2.194337e+01
2, 2020, 1, 29, 12, 440527, 151.875000, 8.234781, 9.935302e+04, 2.233529e+01
2, 2020, 1, 29, 15, 440556, 151.171875, 8.536423, 9.888016e+04, 2.220323e+01
2, 2020, 1, 29, 18, 440900, 150.820313, 8.838303, 9.868759e+04, 2.636309e+01
2, 2020, 1, 29, 21, 440908, 150.468750, 9.140431, 9.905477e+04, 2.563581e+01
2, 2020, 1, 30, 0, 440934, 149.941406, 9.594107, 9.902573e+04, 2.532624e+01
2, 2020, 1, 30, 3, 440939, 149.414062, 9.745466, 9.865738e+04, 2.320548e+01
2, 2020, 1, 30, 6, 441027, 149.062500, 10.048391, 9.883546e+04, 2.329408e+01
2, 2020, 1, 30, 9, 441033, 148.886719, 10.199960, 9.892321e+04, 2.332155e+01
2, 2020, 1, 30, 12, 441057, 148.535156, 10.503314, 9.885856e+04, 2.372236e+01
2, 2020, 1, 30, 15, 441070, 148.183594, 11.110927, 9.849446e+04, 2.555405e+01
2, 2020, 1, 30, 18, 69701, 148.183594, 11.415204, 9.821462e+04, 2.718893e+01
2, 2020, 1, 30, 21, 69709, 147.832031, 11.719808, 9.817088e+04, 2.863090e+01
2, 2020, 1, 31, 0, 69744, 147.656250, 12.177348, 9.787331e+04, 2.935536e+01
2, 2020, 1, 31, 3, 69753, 147.480469, 12.635677, 9.742574e+04, 3.071770e+01
2, 2020, 1, 31, 6, 69844, 147.304688, 13.094829, 9.747343e+04, 3.104281e+01
2, 2020, 1, 31, 9, 69847, 147.304688, 13.401405, 9.702431e+04, 3.390204e+01
2, 2020, 1, 31, 12, 70024, 147.304688, 13.708373, 9.678406e+04, 3.290289e+01
2, 2020, 1, 31, 15, 70027, 147.304688, 14.015742, 9.633252e+04, 3.619879e+01
2, 2020, 1, 31, 18, 70053, 147.480469, 14.477572, 9.601220e+04, 3.669916e+01
2, 2020, 1, 31, 21, 70064, 147.656250, 14.631727, 9.597788e+04, 3.785625e+01
2, 2020, 2, 1, 0, 70070, 147.832031, 15.094849, 9.605619e+04, 3.520364e+01
2, 2020, 2, 1, 3, 70114, 148.183594, 15.404157, 9.603525e+04, 3.432463e+01
2, 2020, 2, 1, 6, 70118, 148.535156, 15.713926, 9.642755e+04, 3.231871e+01
2, 2020, 2, 1, 9, 70130, 148.886719, 16.024166, 9.715852e+04, 2.970770e+01
2, 2020, 2, 1, 12, 70132, 149.414062, 16.179467, 9.718681e+04, 3.136702e+01
2, 2020, 2, 1, 15, 70817, 149.941406, 16.646109, 9.734775e+04, 2.835503e+01
2, 2020, 2, 1, 18, 70799, 150.468750, 16.801907, 9.777785e+04, 2.788443e+01
2, 2020, 2, 1, 21, 70812, 151.171875, 17.113889, 9.825095e+04, 2.580304e+01
2, 2020, 2, 2, 0, 70849, 152.050781, 17.270076, 9.866931e+04, 2.542395e+01
2, 2020, 2, 2, 3, 70777, 153.105469, 17.582849, 9.899359e+04, 2.399255e+01
2, 2020, 2, 2, 6, 70944, 153.984375, 17.739438, 9.939413e+04, 2.408601e+01
3, 2020, 1, 27, 18, 651607, 140.273438, -14.323523, 1.003261e+05, 1.120409e+01
3, 2020, 1, 27, 21, 646130, 140.449219, -15.404157, 1.004766e+05, 1.016359e+01
3, 2020, 1, 28, 9, 646395, 145.898438, -14.940364, 1.002787e+05, 1.269198e+01
3, 2020, 1, 28, 12, 646398, 146.074219, -14.785991, 1.001197e+05, 1.513330e+01
